id,ticket,adult,arrival,date,datetime,day,departure,hour,infant,month,type_train,weekday
1,0,90000,BD,8,2018-08-08 22:15:02.134755,Wednesday,GMR,0750,11820,8,eko,2
1,1,135000,BD,8,2018-08-08 22:15:02.134755,Wednesday,GMR,1130,12180,8,eks,2
1,2,100000,BD,8,2018-08-08 22:15:02.134755,Wednesday,GMR,1130,12180,8,eko,2
1,3,125000,BD,8,2018-08-08 22:15:02.134755,Wednesday,GMR,1235,12300,8,eks,2
1,4,120000,BD,8,2018-08-08 22:15:02.134755,Wednesday,GMR,1405,12900,8,eks,2
1,5,80000,BD,8,2018-08-08 22:15:02.134755,Wednesday,GMR,1530,11340,8,eko,2
1,6,90000,BD,8,2018-08-08 22:15:02.134755,Wednesday,GMR,1800,11640,8,eko,2
1,7,80000,BD,8,2018-08-08 22:15:02.134755,Wednesday,GMR,1845,11340,8,eko,2
2,0,125000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,0505,12840,8,eks,3
2,1,80000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,0505,12840,8,eko,3
2,2,120000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,0615,13140,8,eks,3
2,3,135000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,0715,11400,8,eks,3
2,4,90000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,0750,11820,8,eko,3
2,5,80000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,0845,11760,8,eko,3
2,6,125000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1030,11340,8,eks,3
2,7,80000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1030,11340,8,eko,3
2,8,135000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1130,12180,8,eks,3
2,9,100000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1130,12180,8,eko,3
2,10,125000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1235,12300,8,eks,3
2,11,120000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1405,12900,8,eks,3
2,12,80000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1530,11340,8,eko,3
2,13,120000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1702,11820,8,eks,3
2,14,90000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1800,11640,8,eko,3
2,15,80000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,1845,11340,8,eko,3
2,16,125000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,2000,11640,8,eks,3
2,17,80000,BD,9,2018-08-09 22:15:02.134755,Thursday,GMR,2000,11640,8,eko,3
3,0,135000,BD,10,2018-08-10 22:15:02.134755,Friday,GMR,0505,12840,8,eks,4
3,1,80000,BD,10,2018-08-10 22:15:02.134755,Friday,GMR,0505,12840,8,eko,4
3,2,135000,BD,10,2018-08-10 22:15:02.134755,Friday,GMR,0615,13140,8,eks,4
3,3,135000,BD,10,2018-08-10 22:15:02.134755,Friday,GMR,0715,11400,8,eks,4
3,4,100000,BD,10,2018-08-10 22:15:02.134755,Friday,GMR,0750,11820,8,eko,4
3,5,80000,BD,10,2018-08-10 22:15:02.134755,Friday,GMR,1030,11340,8,eko,4
3,6,100000,BD,10,2018-08-10 22:15:02.134755,Friday,GMR,1130,12180,8,eko,4
4,0,100000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1130,12180,8,eko,5
4,1,135000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1235,12300,8,eks,5
4,2,135000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1405,12900,8,eks,5
4,3,135000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1530,11340,8,eks,5
4,4,80000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1530,11340,8,eko,5
4,5,135000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1702,11820,8,eks,5
4,6,100000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1800,11640,8,eko,5
4,7,135000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1845,11340,8,eks,5
4,8,80000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,1845,11340,8,eko,5
4,9,135000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,2000,11640,8,eks,5
4,10,80000,BD,11,2018-08-11 22:15:02.134755,Saturday,GMR,2000,11640,8,eko,5
5,0,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,0505,12840,8,eks,6
5,1,80000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,0505,12840,8,eko,6
5,2,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,0615,13140,8,eks,6
5,3,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,0715,11400,8,eks,6
5,4,100000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,0750,11820,8,eko,6
5,5,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,0845,11760,8,eks,6
5,6,80000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,0845,11760,8,eko,6
5,7,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1030,11340,8,eks,6
5,8,80000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1030,11340,8,eko,6
5,9,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1130,12180,8,eks,6
5,10,100000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1130,12180,8,eko,6
5,11,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1235,12300,8,eks,6
5,12,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1405,12900,8,eks,6
5,13,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1530,11340,8,eks,6
5,14,80000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1530,11340,8,eko,6
5,15,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1702,11820,8,eks,6
5,16,100000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1800,11640,8,eko,6
5,17,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1845,11340,8,eks,6
5,18,80000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,1845,11340,8,eko,6
5,19,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,2000,11640,8,eks,6
5,20,80000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,2000,11640,8,eko,6
5,21,135000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,2320,11280,8,eks,6
5,22,90000,BD,12,2018-08-12 22:15:02.134755,Sunday,GMR,2320,11280,8,eko,6
6,0,135000,BD,13,2018-08-13 22:15:02.134755,Monday,GMR,0505,12840,8,eks,0
6,1,80000,BD,13,2018-08-13 22:15:02.134755,Monday,GMR,0505,12840,8,eko,0
6,2,135000,BD,13,2018-08-13 22:15:02.134755,Monday,GMR,0615,13140,8,eks,0
6,3,135000,BD,13,2018-08-13 22:15:02.134755,Monday,GMR,0715,11400,8,eks,0
6,4,100000,BD,13,2018-08-13 22:15:02.134755,Monday,GMR,0750,11820,8,eko,0
6,5,80000,BD,13,2018-08-13 22:15:02.134755,Monday,GMR,0845,11760,8,eko,0
6,6,135000,BD,13,2018-08-13 22:15:02.134755,Monday,GMR,1030,11340,8,eks,0
6,7,80000,BD,13,2018-08-13 22:15:02.134755,Monday,GMR,1030,11340,8,eko,0
